Index,Input Text,Actual Label,Predicted Label,Confidence,Correct
19,[NEWS_IN] Asian shares near two - month highs ahead of US payrolls,Negative,Positive,100.0%,✗
20,"[NEWS_IN] Inside Santiniketan , a lonely , troubled VC",Positive,Negative,100.0%,✗
21,[SOCIAL] The Retiree's Dividend Portfolio - Jane's October Update: Taking Advantage Of Zero Cost Tra...,Neutral,Neutral,100.0%,✓
22,[NEWS_IN] Men in top management posts have twice the rate of attrition than women : Study,Negative,Negative,100.0%,✓
23,[NEWS_IN] Budget 2019 : Develop domestic capabilities to boost aviation,Positive,Positive,100.0%,✓
24,"[NEWS_IN] Rate hike seen weighing on firm borrowing , capex",Negative,Negative,100.0%,✓
25,[NEWS_IN] Gold prices are expected to trade lower today : Angel Commodities,Positive,Positive,100.0%,✓
26,[NEWS_IN] Xiaomi : IPO hopeful Xiaomi set to blow past 2017 revenue target,Positive,Negative,100.0%,✗
27,"[NEWS_IN] India a long - term investment for us , says IKEA global CEO Jesper Brodin",Positive,Positive,100.0%,✓
28,"[NEWS_IN] Govt set to release IIP , WPI new base year series",Positive,Positive,100.0%,✓
29,"[NEWS_IN] Pandemic triggers a wave of distress , bankruptcy in Corporate America",Negative,Negative,100.0%,✓
30,[NEWS_IN] Sensex ends nearly 150 points down as Wall Street drags global markets,Negative,Negative,100.0%,✓
31,[NEWS_IN] Donald Trump blocks Broadcom $117 billion bid for Qualcomm on  national security  concerns,Negative,Negative,100.0%,✓
32,[NEWS_IN] Technical View : Nifty forms  Doji  candle for second day ; keep a stop below 10K,Positive,Positive,100.0%,✓
33,[SOCIAL] Commercial paper outstanding â a measure of short-term promissory notes issued primarily ...,Neutral,Neutral,100.0%,✓
34,"[NEWS_IN] Karnataka polls verdict 2018 : With JD ( S ), Congress open for alliance , here an electio...",Positive,Positive,100.0%,✓
35,[NEWS_IN] Will set up JPC to probe demonetisation  scam : Manish Tewari,Negative,Negative,100.0%,✓
36,[NEWS_IN] Gold : Today Gold Price : Track today gold rate latest trends and news,Positive,Positive,100.0%,✓
37,[NEWS_IN] Ministers to brainstorm policy for an all,Positive,Positive,100.0%,✓
38,[NEWS_IN] Mutual Fund investment : Which mutual fund schemes should a student invest ?,Negative,Negative,100.0%,✓
39,"[NEWS_IN] Trump vows to stop China taking South China Sea islands ; Chinese media warns , act tantam...",Negative,Negative,100.0%,✓
40,[NEWS_IN] NAFTA must protect workers left behind by global economy : Justin Trudeau,Positive,Positive,100.0%,✓
41,[NEWS_IN] Indians among London fastest growing international students,Positive,Positive,100.0%,✓
42,[NEWS_IN] China $11 trillion economy and markets are in a tug of war,Negative,Negative,100.0%,✓
43,[NEWS_IN] Sanjeev Gupta Liberty House to acquire ArcelorMittal US unit,Negative,Negative,100.0%,✓
44,"[NEWS_IN] Gold forms bullish hammer ; may break out if resistance @ 38 , 100 is tested",Negative,Negative,100.0%,✓
45,[NEWS_IN] 5 stocks that are buzzing in market today amid a poor show by Sensex,Negative,Negative,100.0%,✓
46,"[NEWS_IN] OnePlus beats Samsung , Apple again in India premium smartphone market : Counterpoint",Positive,Positive,100.0%,✓
47,[NEWS_IN] Gainers & Losers : 10 Stocks That Moved The Most On December 22,Negative,Negative,100.0%,✓
48,"[SOCIAL] U.K. stocks rally, British pound recovers as optimism over possible virus containment offse...",Positive,Positive,100.0%,✓
49,[NEWS_IN] EXPLAINED : Onion prices may not fall anytime soon ; here why prices are on rise,Positive,Positive,100.0%,✓
50,[NEWS_IN] Catching Up With Peers - Business News,Positive,Positive,100.0%,✓
51,[NEWS_IN] Navy upgrading airfields with 24x7 surveillance and real - time alerting,Positive,Positive,100.0%,✓
52,"[NEWS_IN] RBI rate decision , macro data , global cues to set stock market trend",Positive,Positive,100.0%,✓
53,[NEWS_IN] GST : Rates on services will determine impact on inflation,Positive,Positive,100.0%,✓
54,"[NEWS_IN] Mastercard commits Rs 7 , 000 crore investment in India in next 5 years",Positive,Positive,100.0%,✓
55,"[NEWS_IN] EXCLUSIVE : SEBI , RBI may extend forex trading time to 8 pm from 5 pm now",Negative,Negative,99.8%,✓
56,"[NEWS_IN] Your food platter gets expensive amid lockdown , steep price rise in two common items",Negative,Negative,100.0%,✓
57,[NEWS_IN] India Inc topline growth to hit 5 - year high of 9 % in Q3,Positive,Positive,100.0%,✓
58,"[NEWS_IN] Vedanta Resources delisting not related to Tuticorin incident , says Anil Agarwal",Negative,Negative,100.0%,✓
59,"[NEWS_IN] Exit polls , election result & other factors that may guide D - Street this week",Positive,Negative,100.0%,✗
60,"[NEWS_IN] Sensex hits all time high of 30 , 071 , Nifty above 9 , 300 ; Wipro leads 3 % higher",Positive,Positive,100.0%,✓
61,[SOCIAL] Aurora sets early conversion price for convertible bonds at discount to Friday's https://t....,Neutral,Neutral,100.0%,✓
62,[NEWS_IN] à¤¯à¥à¤à¤¨ à¤¨à¥ à¤à¤à¤¾à¤¯à¤¾ à¤­à¤¾à¤°à¤¤ à¤à¥ à¤à¤°à¥à¤¥à¤¿à¤ à¤¬à¤¢à¤¼à¥à¤¤...,Positive,Positive,100.0%,✓
63,[NEWS_IN] SEBI cannot withhold recovered penalty if its order is set aside : SAT,Negative,Negative,100.0%,✓
64,[NEWS_IN] Podcast | Stock picks of the day : Avoid creating short positions ; use volatility to buy ...,Negative,Positive,100.0%,✗
65,"[NEWS_IN] News LIVE : IMD hints at the probability of thunderstorm , dust storm for 3 days",Negative,Negative,99.9%,✓
66,"[NEWS_IN] Toyota , Suzuki announce plans for Make - in - India cars for the world ; engine may be wo...",Positive,Positive,100.0%,✓
67,[NEWS_IN] Coronavirus poses new challenge to Trump re - election bid,Negative,Negative,100.0%,✓
68,[NEWS_IN] Asian equity market : Foreigners pull most cash from Asian equities in at least seven year...,Negative,Negative,100.0%,✓
69,"[NEWS_IN] Budget 2019 must take aim at long - term growth , not just cyclical recovery",Positive,Positive,100.0%,✓
70,[NEWS_IN] RBI to unveil this fiscal first bi - monthly policy decision on April 4,Positive,Positive,100.0%,✓
71,[NEWS_IN] Copper Futures Fall 0 . 48 % To Rs 634 . 30 Per Kg On Weak Global Demand,Negative,Negative,100.0%,✓
72,[NEWS_IN] ipo : Antony Waste Handling Cell files IPO papers with Sebi,Positive,Negative,99.5%,✗
73,"[NEWS_IN] US stock futures drop as risk appetites hit , Asia shares resilient",Negative,Negative,100.0%,✓
74,[NEWS_IN] Dubai To Begin Inoculations With Pfizer - BioNTech Vaccine From Today,Negative,Negative,99.9%,✓
75,"[NEWS_IN] earnings : India Inc profits seen emerging from the shadow of GST , cash ban",Negative,Negative,100.0%,✓
76,[NEWS_IN] Piyush Goyal asks industry to start working for post - COVID period ; says worst for econo...,Negative,Negative,100.0%,✓
77,"[NEWS_IN] Gold prices : Commodity outlook : How oil , gold , agri commodities may trade in today ses...",Positive,Positive,99.9%,✓
78,[NEWS_IN] Samsung pips Apple to top global smartphone sales in Q3,Positive,Positive,100.0%,✓
79,[NEWS_IN] Growth of eight core sectors slows down to 2 . 1 % in July ; these two were key concerns,Negative,Negative,100.0%,✓
80,[NEWS_IN] Mnuchin to issue $3 trillion in debt after virus hobbles economy,Negative,Negative,100.0%,✓
81,"[NEWS_IN] Sebi imposes Rs 27 . 50 lakh fine on Shree Sai Spaces , directors",Negative,Negative,100.0%,✓
82,[NEWS_IN] trade war :  Trade war between US and China helping India boost its exports,Negative,Positive,100.0%,✗
83,"[NEWS_IN] Gold inches down on rate hike views , trade worries",Negative,Negative,100.0%,✓
84,"[NEWS_IN] RBI has not cut repo rate , but your EMIs may still go down ; here why",Negative,Negative,100.0%,✓
85,[NEWS_IN] SIPs give you the benefit of cost averaging . Lump,Negative,Positive,100.0%,✗
86,[NEWS_IN] China dismisses concerns of Xi Jinping becoming  emperor for life,Negative,Positive,100.0%,✗
87,[NEWS_IN] Maruti Suzuki Swift coming earlier than expected ? Pre,Negative,Negative,100.0%,✓
88,"[NEWS_IN] Donald Trump not  thrilled  with border security deal , but government shutdown seems unli...",Negative,Negative,100.0%,✓
89,"[NEWS_IN] Tax agriculture income , says NITI Aayog member Debroy",Negative,Negative,100.0%,✓
90,[NEWS_IN] LinkedIn launches 1mb  Lite  app in India for slower connections,Negative,Negative,100.0%,✓
91,[NEWS_IN] India economic slowdown  temporary blip : Sinha,Negative,Negative,100.0%,✓
92,"[NEWS_IN] What is making Narendra Modi  sabka saath , sabka vika promise hollow , stoking Dalit ange...",Negative,Negative,100.0%,✓
93,"[NEWS_IN] JLR sales increase 5 % in July at 37 , 945 units",Positive,Positive,100.0%,✓
94,"[NEWS_IN] Oil from the Saudis , US , Africa : Top buyers get what they want",Positive,Positive,100.0%,✓
95,[SOCIAL] $EOT - Eaton Vance National Municipal Opportunities Trust declares $0.0717 dividend https:/...,Neutral,Neutral,100.0%,✓
96,[NEWS_IN] Buy Bharti Airtel ; expect channelisation of India ops for debt repayment : BofAML,Negative,Negative,100.0%,✓
97,[NEWS_IN] View : Shouldnt the concept of job creation take precedence over income transfer ?,Negative,Negative,100.0%,✓
98,[NEWS_IN] Laurus Labs gets 2 observations from USFDA for Unit 1 & 3 at Visakhapatnam,Positive,Positive,100.0%,✓
99,"[NEWS_IN] Uber launches Uber Lite , a slimmed down version of the ride - hailing app",Negative,Negative,100.0%,✓
100,"[NEWS_IN] Loan recasts to only defer problem , NPAs may zoom up to 14 % due to COVID - 19 : S & P Gl...",Negative,Negative,100.0%,✓
