Index,Input Text,Actual Label,Predicted Label,Confidence,Correct
62,[NEWS_IN] à¤¯à¥à¤à¤¨ à¤¨à¥ à¤à¤à¤¾à¤¯à¤¾ à¤­à¤¾à¤°à¤¤ à¤à¥ à¤à¤°à¥à¤¥à¤¿à¤ à¤¬à¤¢à¤¼à¥à¤¤...,Positive,Positive,99.7%,✓
63,[NEWS_IN] SEBI cannot withhold recovered penalty if its order is set aside : SAT,Negative,Negative,99.7%,✓
64,[NEWS_IN] Podcast | Stock picks of the day : Avoid creating short positions ; use volatility to buy ...,Negative,Positive,99.7%,✗
65,"[NEWS_IN] News LIVE : IMD hints at the probability of thunderstorm , dust storm for 3 days",Negative,Negative,99.6%,✓
66,"[NEWS_IN] Toyota , Suzuki announce plans for Make - in - India cars for the world ; engine may be wo...",Positive,Positive,99.7%,✓
67,[NEWS_IN] Coronavirus poses new challenge to Trump re - election bid,Negative,Negative,99.7%,✓
68,[NEWS_IN] Asian equity market : Foreigners pull most cash from Asian equities in at least seven year...,Negative,Negative,99.7%,✓
69,"[NEWS_IN] Budget 2019 must take aim at long - term growth , not just cyclical recovery",Positive,Positive,97.6%,✓
70,[NEWS_IN] RBI to unveil this fiscal first bi - monthly policy decision on April 4,Positive,Positive,99.7%,✓
71,[NEWS_IN] Copper Futures Fall 0 . 48 % To Rs 634 . 30 Per Kg On Weak Global Demand,Negative,Negative,99.7%,✓
72,[NEWS_IN] ipo : Antony Waste Handling Cell files IPO papers with Sebi,Positive,Negative,69.8%,✗
73,"[NEWS_IN] US stock futures drop as risk appetites hit , Asia shares resilient",Negative,Negative,99.7%,✓
74,[NEWS_IN] Dubai To Begin Inoculations With Pfizer - BioNTech Vaccine From Today,Negative,Positive,99.7%,✗
75,"[NEWS_IN] earnings : India Inc profits seen emerging from the shadow of GST , cash ban",Negative,Negative,99.7%,✓
76,[NEWS_IN] Piyush Goyal asks industry to start working for post - COVID period ; says worst for econo...,Negative,Negative,99.7%,✓
77,"[NEWS_IN] Gold prices : Commodity outlook : How oil , gold , agri commodities may trade in today ses...",Positive,Positive,74.4%,✓
78,[NEWS_IN] Samsung pips Apple to top global smartphone sales in Q3,Positive,Positive,99.7%,✓
79,[NEWS_IN] Growth of eight core sectors slows down to 2 . 1 % in July ; these two were key concerns,Negative,Negative,99.7%,✓
80,[NEWS_IN] Mnuchin to issue $3 trillion in debt after virus hobbles economy,Negative,Negative,99.7%,✓
81,"[NEWS_IN] Sebi imposes Rs 27 . 50 lakh fine on Shree Sai Spaces , directors",Negative,Negative,99.7%,✓
82,[NEWS_IN] trade war :  Trade war between US and China helping India boost its exports,Negative,Negative,99.4%,✓
83,"[NEWS_IN] Gold inches down on rate hike views , trade worries",Negative,Negative,99.7%,✓
84,"[NEWS_IN] RBI has not cut repo rate , but your EMIs may still go down ; here why",Negative,Negative,99.0%,✓
85,[NEWS_IN] SIPs give you the benefit of cost averaging . Lump,Negative,Positive,99.7%,✗
86,[NEWS_IN] China dismisses concerns of Xi Jinping becoming  emperor for life,Negative,Positive,99.7%,✗
87,[NEWS_IN] Maruti Suzuki Swift coming earlier than expected ? Pre,Negative,Negative,88.7%,✓
88,"[NEWS_IN] Donald Trump not  thrilled  with border security deal , but government shutdown seems unli...",Negative,Negative,99.7%,✓
89,"[NEWS_IN] Tax agriculture income , says NITI Aayog member Debroy",Negative,Positive,81.4%,✗
90,[NEWS_IN] LinkedIn launches 1mb  Lite  app in India for slower connections,Negative,Negative,99.7%,✓
91,[NEWS_IN] India economic slowdown  temporary blip : Sinha,Negative,Negative,99.7%,✓
92,"[NEWS_IN] What is making Narendra Modi  sabka saath , sabka vika promise hollow , stoking Dalit ange...",Negative,Positive,99.7%,✗
93,"[NEWS_IN] JLR sales increase 5 % in July at 37 , 945 units",Positive,Positive,99.7%,✓
94,"[NEWS_IN] Oil from the Saudis , US , Africa : Top buyers get what they want",Positive,Positive,99.7%,✓
95,[SOCIAL] $EOT - Eaton Vance National Municipal Opportunities Trust declares $0.0717 dividend https:/...,Neutral,Neutral,99.7%,✓
96,[NEWS_IN] Buy Bharti Airtel ; expect channelisation of India ops for debt repayment : BofAML,Negative,Negative,99.7%,✓
97,[NEWS_IN] View : Shouldnt the concept of job creation take precedence over income transfer ?,Negative,Negative,99.7%,✓
98,[NEWS_IN] Laurus Labs gets 2 observations from USFDA for Unit 1 & 3 at Visakhapatnam,Positive,Positive,99.7%,✓
99,"[NEWS_IN] Uber launches Uber Lite , a slimmed down version of the ride - hailing app",Negative,Negative,98.9%,✓
100,"[NEWS_IN] Loan recasts to only defer problem , NPAs may zoom up to 14 % due to COVID - 19 : S & P Gl...",Negative,Negative,99.7%,✓
