Index,Input Text,Actual Label,Predicted Label,Confidence,Correct
74,[NEWS_IN] Dubai To Begin Inoculations With Pfizer - BioNTech Vaccine From Today,Negative,Negative,54.2%,✓
75,"[NEWS_IN] earnings : India Inc profits seen emerging from the shadow of GST , cash ban",Negative,Negative,56.0%,✓
76,[NEWS_IN] Piyush Goyal asks industry to start working for post - COVID period ; says worst for econo...,Negative,Negative,80.0%,✓
77,"[NEWS_IN] Gold prices : Commodity outlook : How oil , gold , agri commodities may trade in today ses...",Positive,Positive,71.3%,✓
78,[NEWS_IN] Samsung pips Apple to top global smartphone sales in Q3,Positive,Positive,91.0%,✓
79,[NEWS_IN] Growth of eight core sectors slows down to 2 . 1 % in July ; these two were key concerns,Negative,Negative,94.0%,✓
80,[NEWS_IN] Mnuchin to issue $3 trillion in debt after virus hobbles economy,Negative,Negative,90.6%,✓
81,"[NEWS_IN] Sebi imposes Rs 27 . 50 lakh fine on Shree Sai Spaces , directors",Negative,Negative,94.1%,✓
82,[NEWS_IN] trade war :  Trade war between US and China helping India boost its exports,Negative,Negative,57.4%,✓
83,"[NEWS_IN] Gold inches down on rate hike views , trade worries",Negative,Negative,85.3%,✓
84,"[NEWS_IN] RBI has not cut repo rate , but your EMIs may still go down ; here why",Negative,Negative,69.8%,✓
85,[NEWS_IN] SIPs give you the benefit of cost averaging . Lump,Negative,Positive,54.0%,✗
86,[NEWS_IN] China dismisses concerns of Xi Jinping becoming  emperor for life,Negative,Negative,53.0%,✓
87,[NEWS_IN] Maruti Suzuki Swift coming earlier than expected ? Pre,Negative,Negative,70.4%,✓
88,"[NEWS_IN] Donald Trump not  thrilled  with border security deal , but government shutdown seems unli...",Negative,Negative,92.1%,✓
89,"[NEWS_IN] Tax agriculture income , says NITI Aayog member Debroy",Negative,Negative,60.2%,✓
90,[NEWS_IN] LinkedIn launches 1mb  Lite  app in India for slower connections,Negative,Negative,69.2%,✓
91,[NEWS_IN] India economic slowdown  temporary blip : Sinha,Negative,Negative,82.7%,✓
92,"[NEWS_IN] What is making Narendra Modi  sabka saath , sabka vika promise hollow , stoking Dalit ange...",Negative,Negative,82.4%,✓
93,"[NEWS_IN] JLR sales increase 5 % in July at 37 , 945 units",Positive,Positive,86.6%,✓
94,"[NEWS_IN] Oil from the Saudis , US , Africa : Top buyers get what they want",Positive,Positive,82.2%,✓
95,[SOCIAL] $EOT - Eaton Vance National Municipal Opportunities Trust declares $0.0717 dividend https:/...,Neutral,Neutral,83.0%,✓
96,[NEWS_IN] Buy Bharti Airtel ; expect channelisation of India ops for debt repayment : BofAML,Negative,Negative,93.5%,✓
97,[NEWS_IN] View : Shouldnt the concept of job creation take precedence over income transfer ?,Negative,Negative,89.5%,✓
98,[NEWS_IN] Laurus Labs gets 2 observations from USFDA for Unit 1 & 3 at Visakhapatnam,Positive,Positive,86.7%,✓
99,"[NEWS_IN] Uber launches Uber Lite , a slimmed down version of the ride - hailing app",Negative,Negative,76.8%,✓
100,"[NEWS_IN] Loan recasts to only defer problem , NPAs may zoom up to 14 % due to COVID - 19 : S & P Gl...",Negative,Negative,78.9%,✓
